tweet;polaridade
governobolsonaro reformadaPrevidencia a terrible assessment by the chief of comissance at camaradeputados;-1,00000
You know what is the best way to reduce bank interest by reforming the security;1,00000
If you pass you turn this renovation of the foregoingIn the National Congress there are those who send there are the ones who make it agreed there are those who clapLeaders with negotiation capacity to see the best for the country and likelihood with zero;1,00000
 million for each deputy to vote in favor of pension reform and an excellent measure for reducing spendingCongratulations;1,00000
I hated them before thatSocial Security Reform;-0,90000
Beautiful words of economist Eduardo Moreira about this reform of the Bolsonaro Previdencia;0,85000
Maia There is a chance to make administrative reform as great as the prevention;0,80000
Brazil had the pension reform and was happy foreverops sqn farsa;0,80000
The brown press Folha Estadao Globo see etc accuses the government of spending   billion on amendments to approve the pension reformIt is not explained that they are imposing amendments to healthIf this were explained the narrative would go to the marsh  they play very dirty;-0,78000
Did you just want to understand what there was increased tax reform taxesTax and with tax reformThis was just to cover up the privileges of the legislatures corporation and not to get too ugly they included tax increasesThis calls the donkey citizens;-0,70000
The approval of fair reform of the prevention and a necessity of BrazilRodrigo Maia dont let our country break;0,70000
Good interviewTherefore it should also be insisted on the immediate reform of the militarys previdacy and the obligation to perform audits in the RPPSs;0,70000
Dear Ass I think you are good to be sterile and have no children because being against the previdency reform your descendants are chipped ;0,70000
Good MorningSupport the reform of the forecastEuapionovaparvidencia;0,70000
Good Idea Consult the population about things she has no condition to give her opinionWhy dont you ask the population for reform of the legislature and judicial previdency or privileges;0,70000
Pay attention pay attention pay attention pay attention pay attention pay attention pay attention pay attention to those who support the pension reform Renteist bankers company BBB redeglobomapfre without chance to be good for people ne ;0,70000
This voting is over this voting for the reform of prevention in the commission of constitution and justice of the chamberI will take my field teamTomorrow has moreGood night and good luck;0,70000
Oineague saying that the pension reform that was approved and goodThen I ask good for who;0,70000
Previdencia reform makes it almost impossible to retire with the ceiling of the INSS;-0,66667
gcamarotti the reform of the social security and responsibility of the davialcolumbre and rodrigomaia congressThe government must negotiate with Congress the best for the country but the great responsibility is with parliamentariansThe press does not have to be a deputy lobbyistEmpauta;0,61111
Approve the fucking fucking fucking fucking fuckingThis dollar has to lower ;-0,60000
You are afraid of the previdency reform because you know it will improve the countryYou can cheer against because Brazil doesnt need you;-0,60000
Who darn are these papangs who support the reform of prevention the way it is being proposedKkkkkkkkkkkkkkk already saw crazy people but these congratulationsLutepelasuaA Componentory;-0,60000
Brazil goes through a good period gracas to the social security reform project proposed by the president Jair BolsonaroIbovespa and the best index of emerging markets surpassing the China and Trumps host market;0,57778
If Lula stole or deflected or did anything like that I cant compare with the evil Bolsonaro is doingNamely he is cutting all the pensions of those who are sick and was retired to get money from the social security reform disk;-0,57024
My mother teaching about the absurdity that this reform of social securityI am very proud of this strong and intelligent woman;0,56667
Previdencia reform already Glad to read sensible and positive positions to the Bolsonaro government Avante Brazil Free turnstile Bolsonaros enemies are now the greatest alliesIts freevia googlews;0,53182
jeronimogergen Civil servants have their vote in the special commission to approve the highlight  so that we can have a fair and proportional transition in the pension reform;0,52857
Bozonazi is so desperate to get the approval of the harmful reform of the social security that even became friends with journalists promoting a coffee to them  what a pathetic thingAre you who is moved by this;-0,52222
The greatest yearning of the people is  Reform of social security saving  Moros anticriminal package  impeachment of GilmarDo not put words in the mouth of the peoplePay attention to the Senator Protest and wake up please;0,51667
DepFelipe Franchini chaired the Session of the CCJ regarding the excellent way for social securityCongratulationsBrazil thanksMandouBembemfranishini;0,51667
Reform of social security and the greatest Trojan horse we will have as a gift from our politicians;0,51667
Excellent explanation about the reform of social security;0,51667
My brother thinks that social security reform will generate jobs and the best  manipuladototal;0,51667
Excellent job yesSecom is from congratulationsHowever the government needs to better understand its ministerial team before making declarations in order to avoid uncertainties or distrustReferences to Embraer the reform of social security and IOF did not reverberate well;0,51111
Impressive how many people want Brazil to become a Venezuela without the reform of social security;0,51111
This guy had to earn an election for president to choose ministers and directors neJust bordering on twitter and making it difficult to reform the previdencia;-0,50000
The errobarbaro that is being committed in the discussion of the reform of previdencia   via Eduardo Moreira  the barbarity being committed in front of us and that we are unable to realize;-0,50000
If you ggreenwald theinterceptbr ask jornaldaglobo what says art artLCPNDEG in artCB and allowed to PECDEG of Refreadaprevidencia do not respond  but is illegal and unconstitutionalSo lie they scaled reports in favor;-0,50000
Outside Bolsonaro usurper of workers rights  reform of cruel immoral and inhuman preventionTchutchucadosbanqueiros;-0,50000
SenAlessandro postpone the voting for reform postponeAre you going crazyYour patient this is urgent the people demand that the reform be approved how many beforeStop being a delay for this country another kidnapper in the nation wanting to extort this nationApprove the previdency already;0,50000
Tomorrow goes to the Senate to approve the pension reform okay;0,50000
Congratulations to President jairbolsonaro and MinPaulo Guedes because gracas the reformaprevidencia we will save  tri we will be able to give   to the elderly who get nothing today and do the ptbrasil cry even more;0,50000
But wasnt it just taking Dilma approving the labor reform and the forecast that was going to get better;0,50000
x more   times  refall learning nonhonaopegaavao;0,50000
I would sincerely like reading your statement with regard to;0,50000
Paulo Guedes is coming out better than in the Senate passing the squeegee on PT corruption ccj reformaprevidencia;0,50000
So and better a tax reform proposal before the pension reform;0,50000
According to the Bible Matusalem was the man who lived the most  yearsSocial Security Reform;0,50000
One more excuseFirst was the spending ceiling that would save the economyThen the labor reformThen the pension reformAll of this has been done and the economy does not recover and unemployment remains in the heightsWhen will you realize that this liberalism is a scam;0,50000
The people have already accepted themselves to sacrifice once again we want a safe job and growth of Brazil understood DavidCalheirosReformedPrevidencia;0,50000
The media deluded you even is not reform and destruction of preventionStudies more to know what you are supportingThere are people who like to pay to see and vera;0,50000
Now we have one more reason to fight the pension reformThe renunciation of Paulo Guedes;0,50000
Barreira Na CCJPra top ReformaPrevidencianao df reformadAprevidencia;0,50000
JORNALNATIONAL A government that has so many complaints that make a pension reform to steal the retirement of the worker;0,50000
Your Social Security Reform has the worst project of all timeMilhoes and I already read and know that it is unfair and should not be approvedIn time Stop posting imbecilities the people cant take it anymore;-0,48889
Cruel Social Security ReformCruel for nation looters like you guys for example;-0,48333
Paulinho from the force of evil and the centers of hell think that with the economy that the reform of social security the president had used this money to try to reelect himselfThe guys are so used to spending the hand to the taxpayers money who think everyone acts like themScoundrels;-0,48333
The worst and the leader of the joicehasselmann government guaranteed that this project was on the agenda along with the reform of social security It seems that it was also deceived by Nhonho ;-0,48333
Intlerance to lactose and an evil that I do not wish for anyoneOnly those who voted in favor of social security reform;-0,48333
It was very good the TV Pampa program until the presenter starts to manipulate the audience with the reform of social security  I huh;0,47167
Afranio on the reform of social security poor will become miserable;-0,45556
LiberdadeParalula The most important guidelines are lulalivre reformaPrevidencia lulavalealuta;0,45000
He is really excellent and you are devoid of ideas to be in favor of this pension reform;0,45000
This reform of the forecast there with them wanting to approve the force bro  good thing should not be  hahahaha;0,45000
This is a good size it hinders more than they help reform of the prevention of the military is just a career restructuring if capitalizing the prevention were good they participated;0,45000
Heiobolsonaro Good morningAs an EB ST and now occupying a chair in the Legislature what do you have to inform us about the reform of the militarys securityMany mismatched infos circulating  and in all of them the mights being very harmedWhat has to tell us;0,45000
